PERIOD,START DATE,END DATE,GROSS SALES ,NET SALES (= gross - discounts),ADJ NET SALES (Sales after UE Payout),UE ADJUSTMENTS (Neg means we owe UE),ADJ ADJ Net Sales (Adj NetSales factoring what UE owes),NEW NET ADJ SALES,PRIME COST %,PROPERTY PROFIT,MANCO FEES,PROFIT w/ MANCO FEES,PROFIT (%),COGS $,COGS %,WEEKLY SALARIES,FOH HOURLY WAGES,LABOR $ W/ BENEFITS,,TIPS,LABOR %,TOTAL GUEST COUNT,FIRST PARTY ORDER COUNT,FIRST PARTY SALES,FIRST PARTY CHECK AVE,UE ORDER COUNT,UE SALES,UE AVE CHECK,FREE PROMO ORDER COUNT,% FREE PROMO,MANGO,STRAW,UBER EATS PAYOUT TOTAL,UE AN Promos,UE AN Mkt Paid,UE AN Ad Credits Paid,UE AD SPEND,Other Payments (If Any),UE AN Adj Owed (Negative means we owe),Ads/Marketing,EXPENSES,EXPENSES %,,Fixed Costs,Time Period,Weekly Cost,Updated?,Notes
,6/15/26,6/21/26,,,,,,"$16,762.22",69.72%,"-$6,704.89",$0.00,"-$6,704.89",-,"6,705",40.00%,"1,269","3,260","4,982","$4,496.70",$485.16,29.72%,628,421,"7,465.27",$17.73,207,"15,764",$76.15,129,62.32%,74,55,"$7,733.42","$8,820.72","$2,187.20",$557.30,"2,495",,,,,,,,,,,
,6/8/26,6/14/26,,,,,,"$18,303.79",67.91%,"-$7,321.52",$0.00,"-$7,321.52",-,"7,322",40.00%,"1,269","3,376","5,109","$4,624.29",$485.16,27.91%,666,433,"7,831.35",$18.09,233,"17,919",$76.90,142,60.94%,77,65,"$7,733.42","$8,820.72","$2,187.20",$557.30,"3,788",,,,,,,,,,,
,6/1/26,6/7/26,,,,,,"$17,509.10",69.01%,"-$7,003.64",$0.00,"-$7,003.64",-,"7,004",40.00%,"1,269","3,349","5,080","$4,594.40",$485.16,29.01%,601,386,"6,979.63",$18.08,215,"17,665",$82.16,135,62.79%,71,64,"$7,733.42","$8,820.72","$2,187.20",$557.30,"2,229",,,,,,,,,,,
,5/25/26,5/31/26,,,,,,"$14,020.27",77.53%,"-$5,608.11",$0.00,"-$5,608.11",-,"5,608",40.00%,"1,269","3,514","5,262","$4,776.78",$485.16,37.53%,495,326,"6,170.96",$18.93,169,"13,052",$77.23,99,58.58%,42,57,"$7,733.42","$8,820.72","$2,187.20",$557.30,"1,998",,,,,,,,,,,
,5/18/26,5/24/26,,,,,,"$15,193.33",74.80%,"-$6,077.33",$0.00,"-$6,077.33",-,"6,077",40.00%,"1,269","3,537","5,287","$4,801.36",$485.16,34.80%,568,387,"7,065.34",$18.26,181,"13,434",$74.22,98,54.14%,50,48,"$7,733.42","$8,820.72","$2,187.20",$557.30,"2,058",,,,,,,,,,,
,5/11/26,5/17/26,,,,,,"$14,025.94",77.04%,"-$5,610.38",$0.00,"-$5,610.38",-,"5,610",40.00%,"1,269","3,453","5,195","$4,709.48",$485.16,37.04%,525,354,"6,208.51",$17.54,171,"13,055",$76.35,96,56.14%,56,40,"$7,733.42","$8,820.72","$2,187.20",$557.30,"2,630",,,,,,,,,,,
,5/4/26,5/10/26,,,,,,"$16,305.43",66.40%,"-$6,522.17",$0.00,"-$6,522.17",-,"6,522",40.00%,"1,269","2,644","4,304","$3,819.07",$485.16,26.40%,587,400,"7,736.88",$19.34,187,"14,261",$76.26,109,58.29%,66,43,"$7,733.42","$8,820.72","$2,187.20",$557.30,"2,845",,,,,,,,,,,
,4/27/26,5/3/26,,,,,,"$15,777.13",72.30%,"-$6,310.85",$0.00,"-$6,310.85",-,"6,311",40.00%,"1,269","3,363","5,096","$4,610.80",$485.16,32.30%,561,398,"7,451.39",$18.72,163,"12,200",$74.85,90,55.21%,53,37,"$7,733.42","$8,820.72","$2,187.20",$557.30,"3,177",,,,,,,,,,,
,4/20/26,4/26/26,,,,,,"$17,140.55",70.76%,"-$6,856.22",$0.00,"-$6,856.22",-,"6,856",40.00%,"1,269","3,524","5,272","$4,787.04",$485.16,30.76%,653,448,8191.08,$18.28,205,"14,830",$72.34,109,53.17%,62,47,"$7,733.42","$8,820.72","$2,187.20",$557.30,"6,046",,,,,,,,,,,
,4/13/26,4/19/26,,,,,,"$18,563.34",67.90%,"-$7,425.34",$0.00,"-$7,425.34",-,"7,425",40.00%,"1,269","3,440","5,180","$4,694.82",$485.16,27.90%,655,432,7700.37,$17.82,223,"18,338",$82.23,150,67.26%,72,78,"$7,733.42","$8,820.72","$2,187.20",$557.30,"4,295",,,,,,,,,,,
