PERIOD,START DATE,END DATE,GROSS SALES (NOT INCLUDING REST RELIEF FEE),NET SALES (NOT INCLUDING REST RELIEF FEE),ADJ Net Sales (Sales factoring in UE Payout),UE ADJUSTMENTS (Neg means that we owe UE) ,ADJ ADJ Net Sales (Adj NetSales factoring what UE owes),RP UE AD SPEND,PP UE AD SPEND,NEW NET ADJ SALES,PRIME COST %,LAST YEAR NET,NOI,NOI %,Q2 NET SALES ESTIMATE ($),NET SALES VARIANCE ($),Q2 PROFIT ESTIMATE ($),PROFIT VARIANCE ($),COGS $,COGS %,Last Year Customer Count,Per Person Average,Restaurant Relief Fee,WEEKLY SALARIES,HOURLY WAGES,TIP MAKE UP,Tips,LABOR $ W/ BENEFITS,LABOR %,ADJ ADJ LABOR %,COG% (Adj),EXPENSES,EXPENSES %,TOTAL GUEST COUNT,FIRST PARTY ORDER COUNT,FIRST PARTY SALES,FIRST PARTY CHECK AVE,% FIRST PARTY SALES,EZCater,ON SALES 1AM-9AM,UE ORDER COUNT,UE SALES,UE AVE CHECK,UBER EATS TOTAL PAYOUT,UE Adjustmts,FREE PROMO ORDER COUNT (RP+PP),% FREE PROMO (RP+PP),UE ORDERS (RP),UE RP SALES,FREE PROMO ORDER COUNT (RP),FREE PROMO % (RP),Sate & Chili,DJ STRAW,DJ MANGO,RP PAYOUT,UE RP Promos,UE RP Mkt Paid,UE RP Ad Credits Paid,Other RP Payments if Any,UE RP Adj (Negative means we owe),UE ORDERS (PP),PHO PLAY SALES,FREE ITEM PROMO (PP),FREE ITEM PROMO (PP),Sate & Chili,DJ STRAW,DJ MANGO,PHO PLAY PAYOUT,UE PP Promos,UE PP Mkt Paid,UE PP Ad Credits Paid,Other Payments PP (If Any),UE PP Adj (Negative means we owe),FOOD COST %,BEV COST %,STAFFING LEVEL,NPS,# NPS Responses,SECRET SHOPPER,FOH HoN,# RESPONSES,BOH HoN,# RESPONSES,FOH Jolt,BOH Jolt,Health Inspection,In-Store Inspection,PROFIT from QBO,,Revenue Per Labor Hour,Dine-In Sales,Takeout + DD Delivery Sales,Catering Sales,Third Party Sales,JOLT CHECKLIST,Third Party Sales (After Fees),Late Night Sales,Toast Payroll Actual Labor,NOTES,,,Fixed Costs,Time Period,Weekly Cost,2019 Actual,Updated?,Notes
,6/15/26,6/21/26,,,,,,,,"$135,938.35",72.11%,,,,,,,,"52,038",38.28%,,,,"11,628","31,568",,"$1,383.25","45,993",33.83%,#DIV/0!,-,24000.00,342.53%,"3,245","1,139",28308,$24.85,21%,"$1,390.47","17,341","2,106","179,790",85.37,"$86,787.01","-$7,311",935,44.40%,1465,"$127,678",653,44.57%,204,199,250,"$86,787.01","$95,863.42","$25,010.42","$6,630.63","$23,602.00","-$7,311",641,"$52,111",282,43.99%,82,75,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/8/26,6/14/26,,,,,,,,"$147,811.36",56.37%,,,,,,,,"39,685",26.85%,,,,"11,628","29,430",,"$1,383.25","43,642",29.53%,#DIV/0!,-,24000.00,342.53%,"3,564","1,254",26429,$21.08,18%,$732.75,"19,261","2,310","197,530",85.51,"$86,787.01","-$7,311","1,087",47.06%,1544,"$134,277",729,47.22%,218,210,301,"$86,787.01","$95,863.42","$25,010.42","$6,630.63","$23,602.00","-$7,311",766,"$63,252",358,46.74%,79,130,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/1/26,6/7/26,,,,,,,,"$135,338.87",63.73%,,,,,,,,"43,448",32.10%,,,,"11,628","28,667",,"$1,383.25","42,802",31.63%,#DIV/0!,-,24000.00,342.53%,"3,451","1,236",28110,$22.74,21%,"$1,692.85","16,068","2,215","181,556",81.97,"$86,787.01","-$7,311",921,41.58%,1488,"$123,865",627,42.14%,170,188,269,"$86,787.01","$95,863.42","$25,010.42","$6,630.63","$23,602.00","-$7,311",727,"$57,690",294,40.44%,83,90,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/25/26,5/31/26,,,,,,,,"$146,828.40",54.27%,,,,,,,,"37,470",25.52%,,,,"11,628","28,136",,"$1,383.25","42,219",28.75%,#DIV/0!,-,24000.00,342.53%,"3,500","1,183",26583,$22.47,18%,$569.86,"19,356","2,317","201,014",86.76,"$86,787.01","-$7,311",987,42.60%,1603,"$141,160",698,43.54%,219,191,288,"$86,787.01","$95,863.42","$25,010.42","$6,630.63","$23,602.00","-$7,311",714,"$59,855",289,40.48%,85,90,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/18/26,5/24/26,,,,,,,,"$149,312.67",59.81%,,,,,,,,"49,295",33.01%,,,,"11,628","26,125",,"$1,383.25","40,007",26.79%,#DIV/0!,-,24000.00,342.53%,"3,431","1,181",27117,$22.96,18%,"$1,565.96","14,776","2,250","193,295",85.91,"$86,787.01","-$7,311","1,006",44.71%,1573,"$135,066",701,44.56%,208,191,302,"$86,787.01","$95,863.42","$25,010.42","$6,630.63","$23,602.00","-$7,311",677,"$58,230",305,45.05%,103,94,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/11/26,5/17/26,,,,,,,,"$157,729.70",55.71%,,,,,,,,"45,401",28.78%,,,,"11,614","28,383",,"$1,383.25","42,475",26.93%,#DIV/0!,-,24000.00,342.53%,"3,735","1,318",31284,$23.74,20%,"$1,893.02","19,449","2,417","202,996",83.99,"$86,787.01","-$7,311","1,046",43.28%,1484,"$123,744",616,41.51%,177,176,263,"$86,787.01","$95,863.42","$25,010.42","$6,630.63","$23,602.00","-$7,311",933,"$79,252",430,46.09%,140,140,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/4/26,5/10/26,,,,,,,,"$150,937.58",56.22%,#REF!," $ (108,852.03)",,,,,,"42,087",27.88%,,,,"11,614","28,646",,"$1,383.25","42,765",28.33%,#DIV/0!,-,24000.00,342.53%,"3,648","1,184",26796,$22.63,18%,$59.05,"19,807","2,464","206,135",83.66,"$86,787.01","-$7,311","1,025",41.60%,1581,"$135,569",666,42.13%,201,181,284,"$86,787.01","$95,863.42","$25,010.42","$6,630.63","$23,602.00","-$7,311",883,"$70,566",359,40.66%,85,105,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/27/26,5/3/26,,231727.89,,,,,,"$152,594.75",61.73%,#REF!," $ (118,202.73)",,,,,,"50,936",33.38%,,,,"11,614","29,103",,"$1,383.25","43,267",28.35%,#DIV/0!,-,24000.00,342.53%,"3,719","1,248",29345,$23.51,19%,$206.66,"18,314","2,471","202,643",82.01,"$86,787.01","-$7,311",996,40.31%,1662,"$137,380",650,39.11%,189,281,180,"$86,787.01","$95,863.42","$25,010.42","$6,630.63","$23,602.00","-$7,311",809,"$65,262",346,42.77%,105,125,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/20/26,4/26/26,,231676.19,,,,,,"$152,581.07",57.90%,#REF!," $ (112,337.98)",,,,,,"46,469",30.46%,,,,"11,614","27,832",,"$1,383.25","41,869",27.44%,#DIV/0!,-,24000.00,342.53%,"3,676","1,251",29904,$23.90,20%,"$1,825.62","16,272","2,425","201,611",83.14,"$86,787.01","-$7,311","1,011",41.69%,1594,"$132,290",649,40.72%,199,176,274,"$86,787.01","$95,863.42","$25,010.42","$6,630.63","$23,602.00","-$7,311",831,"$69,321",362,43.56%,126,113,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/13/26,4/19/26,,219686.27,,,,,,"$144,113.06",64.22%,#REF!," $ (116,552.00)",,,,,,"51,212",35.54%,,,,"11,614","27,351",,"$1,383.25","41,340",28.69%,#DIV/0!,-,24000.00,342.53%,"3,533","1,187",27530,$23.19,19%,$566.18,"18,358","2,346","194,286",82.82,"$86,787.01","-$7,311",971,41.39%,1686,"$139,710",685,40.63%,193,203,289,"$86,787.01","$95,863.42","$25,010.42","$6,630.63","$23,602.00","-$7,311",660,"$54,577",286,43.33%,79,101,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
