"Category Type","Category","Product","Report By","Starting Inventory Price","Starting Inventory Count","Starting Inventory Value","Purchased Units","Purchased Value","Ending Inventory Price","Ending Inventory Count","Ending Inventory Value","Used Units","Used Value","Cost %","Wasted Units","Wasted Values","Waste %"
"Food","Bread","Bread, Mini Baguette","Each",0.4325,120,51.9,440,190.3,0.4325,96,41.52,464,200.68,"0.09%",0,0,"0.00%"
"Food","Bread","Misc. Charges and Credits","",0,0,0,1,15,0,0,0,1,15,"0.01%",0,0,"0.00%"
"Food","Dairy","Eggs","Dozen",2.876299999997934,167.5690807364,481.978946922,330,949.19,2.8762999999978542,146.7580882643,422.1202892746,350.810993,1009.048658,"0.45%",0,0,"0.00%"
"Food","Dairy","Eggs, Liquid Yolks","Each",4.7833,12,57.3996,15,71.75,4.7833,11,52.6163,16,76.5333,"0.03%",0,0,"0.00%"
"Food","Dairy","Milk, Coconut (Silk)","Bottle (64 Ounces)",5.498299999988602,14.7701432391,81.2106785715,18,98.97,5.498300000011214,14.9662313535,82.288829851,17.803912,97.891849,"0.04%",0,0,"0.00%"
"Food","Dairy","Misc. Charges and Credits","",0,0,0,1,8.38,0,0,0,1,8.38,"0.00%",0,0,"0.00%"
"Food","Dairy","Yogurt, Coconut Vegan","Pound",6.13250000000144,31.889133768,195.5601128323,36,220.77,6.13249999999911,31.9676272838,196.0414743179,35.921506,220.288639,"0.10%",0,0,"0.00%"
"Food","Grocery and Dry Goods","Agar Agar","Pound",98.95999999987094,0.1787722103,17.6912979313,0,0,98.95999999685941,0.2355339674,23.3084414139," -0.056762"," -5.617143","0.00%",0,0,"0.00%"
"Food","Grocery and Dry Goods","Aroy-D, Coconut Milk","Fluid Ounce",0.10879999999979292,1614.1645098836,175.6210986751,5879.999904,639.5,0.10880000000021688,3368.3173789298,366.4729308274,4125.847035,448.648168,"0.20%",0,0,"0.00%"
"Food","Grocery and Dry Goods","Baking Soda","Each (Pound)",2.498799998566866,11.5413841195,28.8396106378,0,0,2.498800000543447,10.0363952674,25.0789444942,1.504989,3.760666,"0.00%",0.004694321,0.0117301693148,"0.31%"
"Food","Grocery and Dry Goods","Base, Chicken Powder","Pound",4.347800000127971,62.3097174857,270.9101896844,55.2,240,4.347799995825936,11.4062393313,49.5920473644,106.103478,461.318142,"0.20%",0.07333844605,0.31886089573619,"0.07%"
"Food","Grocery and Dry Goods","Beans, Chickpeas","Can",7.731700000007154,7.9166800001,61.2093947568,0,0,7.731699999980488,5.1666933334,39.9473228458,2.749987,21.262072,"0.01%",0,0,"0.00%"
"Food","Grocery and Dry Goods","Beans, Lentils Dry","Pound",2.6189999999945193,19.3228010955,50.6064160691,10,26.19,2.6189999999945193,12.645602191,33.1188321382,16.677199,43.677584,"0.02%",0,0,"0.00%"
"Food","Grocery and Dry Goods","Candy, Rock","Each",1.8666999982184915,24.5250101702,45.7808364846,0,0,1.866700000093356,17.2501069827,32.2007747046,7.274903,13.580062,"0.01%",0,0,"0.00%"
"Food","Grocery and Dry Goods","Cashews","Pound",12.798000000011392,25.9443506786,332.0357999852,0,0,12.797999999987523,16.3303452012,208.9957578846,9.614005,123.040042,"0.05%",0,0,"0.00%"
"Food","Grocery and Dry Goods","Coconut, Aminos","Gallon",47.80200000069922,0.0626409381,2.9943621231,5.5,226.66,41.21089997886064,4.0580298691,167.2350631305,1.504611,62.419299,"0.03%",0,0,"0.00%"
